name,balance,email,phone,address
Midel,203110.914,carnaldo0@umich.edu,5828056716,56988 Birchwood Crossing
Realcube,967316.379,awhitesel1@sciencedirect.com,8253770914,9 Russell Crossing
Avavee,936595.488,pgoodliff2@biglobe.ne.jp,2863701373,2 Hanover Place
Thoughtbridge,882608.194,mbarrowcliff3@princeton.edu,8935272455,9526 Buena Vista Parkway
Linkbuzz,210077.955,dfullun4@eventbrite.com,4596411226,2 Hanover Parkway
Livefish,939678.823,josboldstone5@oracle.com,2049192719,75658 Aberg Road
Kwideo,255525.227,rsjollema6@earthlink.net,7421403465,1908 Dorton Center
Snaptags,509656.086,nbecom7@home.pl,8858891403,744 Upham Circle
Kwimbee,494000.725,atrundell8@cloudflare.com,6583247334,60600 Eggendart Street
Izio,567518.816,labramski9@issuu.com,1966764954,4 Dakota Alley
Bluejam,803562.325,mcairda@si.edu,2487666310,31778 Schurz Crossing
Cogidoo,247875.52,bosgarb@simplemachines.org,3428839471,1071 Superior Terrace
Skyba,975420.021,celmsc@163.com,4468762906,5 Twin Pines Circle
Tagtune,729969.91,nmattosoffd@yelp.com,5954826326,531 Hudson Center
BlogXS,827520.669,lhenninghame@bing.com,5617978696,0508 Eagan Place
Brainverse,313878.036,jleadbitterf@hp.com,8291216149,2246 Lukken Alley
Edgeify,419083.011,fbaldreeg@tuttocitta.it,5458169408,904 Anniversary Avenue
Ainyx,620418.474,cstoffelh@census.gov,5038064204,2244 Butternut Lane
Tagfeed,323419.545,hfancutti@umn.edu,4728757032,31 Clyde Gallagher Park
Gevee,686305.153,swalkdenj@bizjournals.com,2141076344,9882 Dahle Way
Jayo,780830.319,tkilbanek@intel.com,3586150788,388 Sheridan Terrace
Feedmix,505544.358,rdennantl@gov.uk,7474839234,3 Sachtjen Road
Riffpath,11739.946,hjancarm@wikia.com,2815422629,3388 Fremont Place
Tagtune,999295.525,cblaschken@issuu.com,4387195081,18281 Bowman Crossing
